city,country,latitude,longitude,temperature,humidity (%),cloudiness (%),wind_speed (kmph)
gorodovikovsk,ru,46,41,0,95,64,5
shatsk,ru,51,23,5,97,92,5
basco,ph,40,-91,-4,79,1,2
dawei,mm,14,98,24,78,48,2
kunya,ru,12,8,16,45,0,3
luba,gq,17,120,23,79,0,2
taseyevo,ru,57,94,-22,66,64,1
okhtyrka,ua,50,34,1,98,88,2
florence,us,34,-87,2,88,90,3
suileng,cn,47,127,-28,29,0,1
tartus,sy,,,,,,
kyaikto,mm,17,97,21,100,24,1
viedma,ar,-40,-62,21,38,12,0
intipuca,sv,13,-88,27,93,8,2
novoseleznevo,ru,55,69,-23,71,0,2
klaebu,no,63,10,1,100,75,4
arya,ru,,,,,,
liminangcong,ph,,,,,,
northam,au,51,-4,8,81,88,7
parral,cl,-36,-71,18,63,12,5
eirunepe,br,-6,-69,25,88,20,1
prachuap khiri khan,th,11,99,23,95,80,2
sungurlu,tr,40,34,4,95,92,3
grakhovo,ru,56,51,-4,85,90,5
jucurutu,br,-6,-37,22,96,68,1
sundargarh,in,22,84,12,85,0,2
igrim,ru,63,64,-11,88,0,2
grand-lahou,ci,5,-5,25,88,8,2
yeletskiy,ru,,,,,,
telde,es,27,-15,17,67,0,3
mokhotlong,ls,-29,29,6,74,68,0
muros,es,42,-9,7,100,20,0
zaraza,ve,9,-65,25,69,0,5
san matias,bo,13,-86,20,68,20,1
varias,ro,46,20,2,93,88,1
athens,us,34,-86,2,100,90,4
chitipa,mw,-9,33,17,97,88,1
corralillo,cu,22,-80,25,87,20,2
isla vista,us,34,-119,15,53,1,3
jingdezhen,cn,29,117,0,100,80,1
hacienda heights,us,33,-117,18,56,1,0
freetown,ag,26,-78,26,83,75,4
areia branca,br,-10,-37,27,78,40,3
pavlodar,kz,52,76,-20,76,0,5
walvis bay,na,-22,14,14,82,0,4
zhanatas,kz,,,,,,
berberati,cf,4,15,19,81,0,1
chichibu,jp,35,139,7,39,20,5
moiyabana,bw,,,,,,
camargo,bo,27,-105,9,75,0,0
razole,in,16,81,25,100,0,3
burnie,au,-41,145,16,95,0,6
horta,pt,41,2,8,93,0,1
san onofre,co,9,-75,27,81,0,4
tokonou,gn,9,-9,18,56,0,1
asfi,ma,,,,,,
awbari,ly,26,12,3,75,0,1
diego de almagro,cl,-26,-70,20,55,0,1
osakarovka,kz,50,72,-12,77,92,1
kizhinga,ru,51,109,-26,63,68,1
khirkiya,in,22,76,14,83,0,1
buqayq,sa,,,,,,
kalaisan,ph,7,125,28,78,20,4
iberia,pe,-11,-69,26,84,8,1
rairangpur,in,22,86,8,78,0,1
gueret,fr,46,1,7,93,90,4
general bravo,mx,25,-99,12,65,0,3
voskevan,am,41,45,6,93,90,1
dovers,vc,12,-61,26,74,40,6
puyang,cn,35,115,-7,70,88,1
penalva,br,-3,-45,23,98,68,0
macapa,br,0,-51,27,88,40,4
ziyang,cn,30,104,3,97,92,1
srikakulam,in,18,83,24,100,0,4
balaguer,es,41,0,8,87,0,4
aybak,af,,,,,,
chokwe,mz,,,,,,
gopalpur,in,25,86,10,82,0,1
mariestad,se,58,13,0,89,64,3
wahpeton,us,46,-96,-7,85,1,2
huaicheng,cn,23,112,4,100,92,1
lubao,cd,14,120,28,58,40,4
pangkalanbuun,id,-2,111,25,98,56,1
atakpame,tg,7,1,20,67,0,0
lukulu,zm,-14,23,17,99,64,2
imphal,in,24,93,7,86,0,0
muravlenko,ru,63,74,-8,89,80,4
kyabram,au,-36,145,19,98,80,3
gistrup,dk,56,9,3,85,8,7
zhoucheng,cn,31,119,4,93,90,2
iwaki,jp,37,140,3,51,20,6
newry,gb,54,-6,6,93,75,4
bhadasar,in,28,74,10,70,8,2
atambua,id,-9,124,27,100,32,1
cheuskiny,ru,,,,,,
lichtenburg,za,-26,26,19,24,92,3
enkoping,se,59,17,0,97,36,2
dzhebariki-khaya,ru,62,135,-38,76,20,1
kusk,af,,,,,,
malgrat de mar,es,41,2,7,100,20,2
zahnitkiv,ua,48,28,-4,91,48,1
starosubkhangulovo,ru,53,57,-7,73,88,1
tahe,cn,52,124,-21,58,0,2
mombasa,ke,-4,39,27,88,75,2
paragominas,br,-3,-47,22,99,92,1
pimenta bueno,br,-11,-61,24,93,8,0
buchmany,ua,51,28,1,95,92,5
lahaina,us,20,-156,24,69,40,6
presidencia roque saenz pena,ar,-26,-60,29,49,76,2
zverinogolovskoye,ru,54,64,-27,26,0,1
wuda,cn,39,106,-25,53,0,1
fevralsk,ru,,,,,,
sainte-rose,re,45,-73,0,68,20,6
goure,ne,13,10,16,39,0,4
that phanom,th,16,104,22,71,24,3
maua,ke,0,37,16,95,80,1
aviles,es,43,-5,9,93,56,0
zhanakorgan,kz,43,67,0,98,92,2
skovorodino,ru,53,123,-25,59,0,2
necochea,ar,-38,-58,20,63,80,2
saiha,in,22,92,8,86,0,0
muhos,fi,64,26,0,95,92,5
vanavara,ru,60,102,-24,76,88,2
zaton,ru,49,33,0,98,88,1
boston,gb,42,-71,-1,51,75,5
bochil,mx,17,-92,24,73,5,7
roebourne,au,-20,117,34,29,0,3
varkaus,fi,62,27,0,92,90,3
oum hadjer,td,13,19,15,36,0,3
kyabe,td,9,18,20,51,0,2
sao mateus,br,-18,-39,22,100,92,7
zirandaro,mx,18,-100,28,48,0,1
serik,tr,36,31,12,93,75,3
labuhan,id,-2,115,25,91,32,1
tatawin,tn,,,,,,
mahasamund,in,21,82,17,77,76,0
subtanjalla,pe,-14,-75,20,82,40,3
koutsouras,gr,35,25,17,100,0,8
santa marta,co,11,-74,29,70,20,4
karibib,na,-21,15,11,88,0,0
rangapara,in,26,92,7,73,0,1
gagino,ru,54,39,0,95,92,6
ballangen,no,68,16,-3,86,80,5
bella union,uy,8,-73,19,79,0,0
ravne,si,44,17,1,100,0,1
cerveteri,it,42,12,11,76,0,1
amursk,ru,50,136,-27,78,20,1
devonport,au,-41,146,18,69,0,1
cambara,br,-23,-50,24,48,0,3
gornoye loo,ru,43,39,8,61,76,6
brownwood,us,31,-98,4,66,1,2
srednyaya yelyuzan,ru,53,45,-7,93,92,4
kidal,ml,18,1,12,53,0,3
imbituba,br,-28,-48,23,69,40,4
victor harbor,au,-35,138,25,27,0,7
kautokeino,no,69,23,-10,82,80,1
gayeri,bf,12,0,16,54,0,2
prieska,za,-29,22,17,35,0,4
lasem,id,-6,112,27,97,0,1
chissamba,ao,,,,,,
mestia,ge,43,42,-17,87,12,0
shumskiy,ru,54,99,-29,56,20,0
debre tabor,et,11,38,8,69,0,1
kalevala,ru,64,29,-1,83,88,3
castanheira do ribatejo,pt,38,-8,11,87,0,3
bernalillo,us,35,-106,3,64,1,3
miandrivazo,mg,-19,45,21,92,36,1
gofitskoye,ru,44,40,-3,65,12,1
grand island,us,40,-98,-3,74,1,2
muroto,jp,33,134,9,45,75,3
kosh-agach,ru,49,88,-33,36,0,1
sertanopolis,br,-23,-51,24,53,0,4
gberia fotombu,sl,9,-11,17,74,0,0
suozhen,cn,36,118,-13,54,20,0
joshimath,in,30,79,-19,100,36,0
nobres,br,-14,-56,26,82,8,2
riviere-au-renard,ca,49,-64,-11,72,90,2
pine bluff,us,34,-92,3,75,1,2
serenje,zm,-13,30,19,97,88,3
villa del rosario,ve,7,-72,26,78,40,2
bastia,fr,44,8,13,35,0,4
maple creek,ca,49,-109,-13,56,0,2
anloga,gh,5,0,29,83,20,2
clarin,ph,8,123,26,89,0,1
zalaszentgrot,hu,46,17,7,70,90,3
vokhtoga,ru,58,41,-6,90,80,6
pak phanang,th,8,100,25,100,20,3
villa bruzual,ve,9,-69,27,65,68,1
santa teresa,ph,10,-66,26,78,20,1
pervomayskiy,ru,53,40,0,95,92,6
libreville,ga,0,9,28,83,20,2
ashqelon,il,31,34,13,82,75,4
beysehir,tr,37,31,4,100,92,4
svetlaya,ru,46,138,-9,100,56,6
ouango,cf,4,22,23,84,12,1
calatayud,es,41,-1,13,21,0,2
xingcheng,cn,40,120,-15,100,36,1
nova vicosa,br,-17,-39,22,100,92,5
ishim,ru,56,69,-22,66,8,1
chaa-khol,ru,,,,,,
kandi,bj,11,2,17,47,0,2
la cruz,mx,23,-106,24,57,0,1
jinzhou,cn,41,121,-17,63,48,1
ji-parana,br,,,,,,
paris,us,48,2,7,93,75,3
matata,nz,-37,176,20,97,0,1
otradnoye,ru,59,30,-1,86,20,4
urzhum,ru,57,50,-4,94,88,3
lerwick,gb,60,-1,4,60,76,8
orchard homes,us,46,-114,-4,74,1,1
riaba,gq,,,,,,
bafra,tr,,,,,,
langham,ca,52,-106,-13,78,20,2
beirut,lb,33,35,17,67,75,2
liniere,ca,,,,,,
jega,ng,12,4,20,38,0,4
stolin,by,51,26,3,97,92,5
dolbeau,ca,,,,,,
fairview,ca,40,-74,0,51,1,1
rojhan,pk,28,69,13,96,56,3
kipini,ke,-2,40,22,97,40,3
kuchera,in,26,73,11,80,0,2
carahue,cl,-38,-73,14,87,0,2
pergamino,ar,-33,-60,22,66,0,1
winslow,us,51,0,6,87,75,6
serabu,sl,7,-12,26,72,0,2
severo-yeniseyskiy,ru,60,93,-20,68,76,1
redcliffe,zw,51,-2,7,93,36,6
sagua la grande,cu,22,-80,24,73,20,2
nikolayevka,ru,47,38,1,91,68,5
raurkela,in,,,,,,
yong peng,my,2,103,24,100,12,1
sao raimundo das mangabeiras,br,-7,-45,22,98,88,2
salumbar,in,24,74,9,81,0,2
beckley,us,37,-81,-1,96,90,1
caboolture,au,-27,152,27,57,40,4
binzhou,cn,37,117,-13,54,20,0
boshnyakovo,ru,49,142,-7,100,48,6
sampit,id,-2,112,25,97,92,2
katangli,ru,51,143,-8,100,68,10
octeville,fr,49,-1,10,71,75,7
groton,us,42,-71,-2,57,1,1
fuling,cn,29,107,1,96,92,1
lisiy nos,ru,60,30,-1,86,20,4
aldama,mx,22,-98,17,100,64,5
assomada,cv,15,-23,24,64,40,4
adelaide,au,-34,138,25,27,0,7
nsanje,mw,-16,35,25,82,56,1
nenjiang,cn,49,125,-29,31,0,1
santo antonio do sudoeste,br,-26,-53,23,52,56,1
kuala terengganu,my,5,103,25,100,75,1
lianzhou,cn,24,112,1,99,92,1
marrakesh,ma,31,-7,12,62,0,1
cairns,au,-16,145,26,88,75,5
lyuban,by,52,28,2,95,92,5
putyatino,ru,54,41,-1,95,88,6
konstantinovka,ru,47,28,-4,91,48,1
wrexham,gb,53,-2,6,93,75,4
malyye derbety,ru,47,44,-1,98,88,5
kazalinsk,kz,,,,,,
vostochnyy,ru,55,37,0,100,90,3
vitoria da conquista,br,,,,,,
bangassou,cf,4,22,22,72,20,1
keflavik,is,64,-22,1,93,75,9
manjacaze,mz,-24,33,21,98,92,4
topeka,us,39,-95,-2,71,1,1
muzhi,ru,65,64,-14,77,36,2
sakti,in,22,82,12,85,0,1
milici,ba,38,15,15,67,0,11
avanigadda,in,16,80,23,88,40,1
sergeyevka,kz,53,67,-26,45,0,1
pa sang,th,18,98,21,94,75,0
fianga,td,,,,,,
drabiv,ua,49,32,-1,92,68,2
nanaimo,ca,49,-123,7,100,90,8
hamadan,ir,,,,,,
manuk mangkaw,ph,4,119,29,98,48,2
clarence town,bs,-32,151,25,69,75,6
sansai,th,,,,,,
manicaragua,cu,22,-79,24,88,8,1
phuntsholing,bt,26,89,6,65,12,1
sarai alamgir,pk,32,73,10,100,92,2
gedinne,be,49,4,4,100,75,3
moissac,fr,44,1,9,93,90,3
la malbaie,ca,47,-70,-7,100,56,3
aldan,ru,58,125,-26,69,68,1
los llanos de aridane,es,28,-17,19,82,0,1
vavuniya,lk,8,80,20,92,36,1
san benito abad,co,8,-75,29,71,8,1
powassan,ca,46,-79,-4,100,90,7
quiruvilca,pe,-7,-78,13,71,36,0
novosheshminsk,ru,55,51,-5,91,80,3
linao,ph,11,124,25,97,44,1
tagusao,ph,9,117,27,88,0,3
bolshiye berezniki,ru,,,,,,
loudi,cn,27,112,0,100,92,2
garden city,us,40,-73,0,69,1,2
fitionesti,ro,45,27,0,70,90,4
tres passos,br,-27,-53,22,59,88,2
curvelo,br,-18,-44,20,72,92,3
velyka lepetykha,ua,47,33,4,100,92,1
odesskoye,ru,54,72,-18,79,24,3
yuci,cn,37,112,-10,72,8,1
roblin,ca,51,-101,-11,73,0,4
yako,bf,12,-2,15,52,0,1
zanesville,us,39,-82,-3,94,1,2
jiwani,pk,25,61,18,83,0,3
outlook,ca,51,-107,-10,76,0,3
sambava,mg,-14,50,25,100,88,4
brasileia,br,,,,,,
bethalto,us,38,-90,-3,86,5,5
manoel urbano,br,-8,-69,25,92,12,0
nizhniy ufaley,ru,55,59,-13,80,36,1
la mana,ec,0,-79,18,90,48,0
walla walla,us,46,-118,-1,84,90,2
monywa,mm,22,95,19,95,68,2
chokurdakh,ru,70,147,-34,50,32,4
el tigre,ve,8,-64,28,49,24,6
kitgum,ug,3,32,15,93,64,1
phonhong,la,18,102,23,78,75,1
osinovo,ru,62,42,-6,84,76,3
krasnystaw,pl,50,23,4,100,75,4
lengshuijiang,cn,27,111,0,100,92,1
tongzi,cn,28,105,3,99,88,1
colorado springs,us,38,-104,-3,35,1,2
senneterre,ca,48,-77,-10,72,90,4
riyaq,lb,,,,,,
baturaja,id,-4,104,23,92,88,1
mawlaik,mm,23,94,14,93,92,0
dmitriyevka,ru,43,41,1,100,64,1
ha noi,vn,21,105,15,77,75,2
tenno,jp,45,10,6,75,0,1
bydgoszcz,pl,53,18,5,100,90,6
kuopio,fi,62,27,0,90,90,4
chitrakonda,in,18,82,12,89,0,1
tekeli,kz,44,78,-12,54,8,1
shirokiy,ru,53,39,0,97,80,6
pailon,bo,-17,-62,26,78,75,3
kenai,us,60,-151,-4,88,40,3
abu jubayhah,sd,,,,,,
itaocara,br,-21,-42,19,74,8,2
madona,lv,56,26,0,95,88,4
klobuck,pl,50,18,4,93,75,7
darbhanga,in,26,85,9,86,0,1
jitauna,br,-14,-39,21,96,92,1
aracuai,br,-16,-42,18,96,92,3
chernaya kholunitsa,ru,58,51,-5,90,92,3
yuncheng,cn,35,111,-6,92,92,1
durham,us,54,-1,2,92,0,2
malumfashi,ng,11,7,16,48,0,3
olinda,br,-2,-79,26,65,40,6
smolenka,ru,54,22,4,97,88,6
kolpashevo,ru,58,82,-13,70,80,2
hikari,jp,33,131,9,56,75,6
muswellbrook,au,-32,150,27,71,0,1
devrek,tr,41,31,9,85,24,4
shenjiamen,cn,29,122,14,100,92,7
mandapam,in,9,79,26,100,8,6
khorixas,na,-20,14,7,85,0,1
zlotoryja,pl,51,15,6,75,40,11
porirua,nz,-41,174,17,72,0,8
beauceville,ca,46,-70,-4,83,80,3
shancheng,cn,26,117,0,97,88,1
pathein,mm,16,94,22,95,44,2
longkou,cn,37,120,-2,100,32,1
schenectady,us,42,-73,-3,68,1,1
opobo,ng,,,,,,
nouna,bf,12,-3,15,54,0,1
verkhnyaya sinyachikha,ru,57,61,-14,76,32,1
gromiljak,ba,43,18,0,84,40,1
caranavi,bo,-15,-67,21,88,92,0
copperas cove,us,31,-97,6,67,1,5
hukuntsi,bw,-23,21,20,17,0,7
misasi,tz,-3,33,20,88,75,1
quepos,cr,9,-84,20,64,20,6
rajo khanani,pk,24,68,15,86,0,1
bay-ang,ph,12,124,26,94,24,2
yilan,cn,24,121,20,88,75,1
lixourion,gr,38,20,17,100,92,13
boyuibe,bo,-20,-63,27,62,64,4
sabathu,in,31,76,10,87,5,1
yelovo,ru,57,54,-6,94,92,2
charlottetown,ca,46,-63,-9,56,75,3
el rosario,sv,22,-105,23,73,5,2
pastos bons,br,-6,-44,21,99,48,1
petlawad,in,22,74,12,84,0,1
chino valley,us,34,-112,7,41,1,1
port lincoln,au,-34,135,18,87,24,6
avrameni,ro,48,26,1,86,92,2
wyndham,nz,51,-3,7,87,75,6
sao joao do paraiso,br,-15,-42,19,95,92,3
palmas,br,-10,-48,23,90,88,2
accra,gh,5,0,28,97,12,5
graaff-reinet,za,-32,24,9,89,0,2
carlos chagas,br,-17,-40,18,98,92,4
nchelenge,zm,-9,28,19,100,92,2
benalla,au,-36,145,25,41,80,4
laiagam,pg,,,,,,
chudniv,ua,50,28,0,93,92,5
excelsior springs,us,39,-94,-1,79,1,1
novyy nekouz,ru,57,38,-4,92,88,5
paralimni,cy,40,23,-3,91,64,0
abancay,pe,-13,-72,10,42,8,0
bulawayo,zw,-20,28,17,99,92,1
sukhumi,ge,,,,,,
khorramshahr,ir,30,48,15,87,75,1
zanjan,ir,36,48,-5,72,56,1
san buenaventura,hn,27,-101,9,98,12,1
pembroke,ca,45,-77,-2,92,90,3
arvika,se,59,12,0,86,76,4
puerto maldonado,pe,-12,-69,31,54,92,1
bunia,cd,1,30,16,91,80,0
teresina,br,-5,-42,24,94,90,3
braco do norte,br,-28,-49,20,59,8,4
christiana,za,-27,25,13,59,20,1
malinovoye ozero,ru,51,79,-27,25,0,1
ngukurr,au,,,,,,
lebedyan,ru,53,39,0,96,92,6
galdar,es,28,-15,17,67,0,3
xghajra,mt,,,,,,
tshela,cd,-4,12,22,100,92,1
chililabombwe,zm,-12,27,18,99,92,2
bahia blanca,ar,-38,-62,26,38,36,5
leverkusen,de,51,6,5,81,75,6
agra,in,27,78,9,85,0,1
harpanahalli,in,14,75,19,86,0,2
xiongshi,cn,,,,,,
chkalovsk,tj,56,43,-3,92,90,3
johnstown,us,40,-78,-4,79,1,1
balotra,in,25,72,10,76,0,1
kotma,in,23,81,10,85,0,1
champasak,la,14,105,23,83,40,1
doha,qa,25,51,20,60,0,2
meybod,ir,32,54,6,38,0,3
hailin,cn,44,129,-26,46,0,1
carlton,gb,46,-92,-5,80,1,2
humboldt,us,52,-105,-11,74,0,4
timbangan,ph,,,,,,
coahuayana,mx,18,-100,24,45,0,0
torres,br,-29,-49,21,84,64,4
luangwa,zm,-15,30,21,100,92,0
malm,no,64,11,-1,100,75,4
chiang rai,th,19,99,21,100,75,1
charters towers,au,-20,146,22,99,92,6
andrushivka,ua,50,29,0,92,68,5
saltillo,mx,25,-100,10,81,5,1
guanhaes,br,-18,-42,16,95,92,1
amnat charoen,th,15,104,23,72,12,6
ribas do rio pardo,br,-20,-53,26,43,0,4
longyearbyen,sj,78,15,-7,62,75,6
santa comba,es,43,-8,5,100,20,0
drochia,md,48,27,-2,82,64,1
coihaique,cl,-45,-72,12,67,0,1
erzin,ru,36,36,12,93,75,2
sikeston,us,36,-89,0,76,1,3
malappuram,in,11,76,24,88,20,2
vieux-habitants,gp,16,-61,24,83,0,3
kazerun,ir,29,51,6,82,0,0
molchanovo,ru,57,83,-19,66,48,1
romny,ru,50,33,0,99,80,2
buloh kasap,my,2,102,28,83,75,2
huaibei,cn,33,116,-1,67,80,3
beian,cn,63,9,4,86,75,6
nhamunda,br,-2,-56,24,93,12,1
cheney,us,47,-117,0,79,90,3
lumsden,ca,50,-104,-8,85,40,2
la sarre,ca,48,-79,-10,85,44,4
petaluma,us,38,-122,10,100,90,2
rodrigues alves,br,-7,-72,25,94,0,1
khuchni,ru,41,47,-3,84,0,1
moura,pt,38,-7,12,81,0,3
motygino,ru,58,94,-23,70,80,1
kayankulam,in,9,76,28,100,68,1
bouloupari,nc,-21,166,27,54,75,6
bukachacha,ru,52,116,-35,53,12,0
kaili,cn,-3,120,24,81,36,1
tandil,ar,-37,-59,17,72,88,1
katsina,ng,12,7,16,39,0,4
suicheng,cn,33,117,0,84,80,4
jatibonico,cu,21,-79,26,69,8,3
caxito,ao,-22,-42,20,73,0,5
avenal,us,36,-120,11,85,40,1
wolsztyn,pl,52,16,5,81,90,8
zhaotong,cn,27,103,-4,100,80,1
kostino,ru,41,25,-2,92,44,1
leo,bf,11,-2,18,39,0,2
huazolotitlan,mx,,,,,,
nioro,ml,13,-15,19,49,0,1
neumunster,de,54,9,5,80,20,6
ontario,us,34,-117,18,46,1,3
montanha,br,-18,-40,20,98,92,4
srandakan,id,-7,110,24,100,76,1
naruja,ge,41,41,11,50,0,10
blenheim,ca,-41,173,17,77,0,5
arkhara,ru,49,130,-27,54,36,1
kiama,au,-34,150,22,83,76,2
batsfjord,no,70,29,-4,92,40,5
sidney,us,47,-104,-4,84,1,4
canmore,ca,51,-115,-1,54,90,4
cerinza,co,5,-72,13,93,56,0
ashland,us,38,-82,-1,84,1,2
teahupoo,pf,-17,-149,30,70,75,6
nordfjordeid,no,61,5,4,100,88,11
concordia,ar,-31,-58,24,62,32,1
calabozo,ve,8,-67,29,43,12,5
bhag,pk,29,67,13,95,8,1
mopti,ml,14,-4,17,72,0,1
plouzane,fr,48,-4,7,81,75,2
kedougou,sn,12,-12,18,40,0,2
bata,gq,1,9,26,100,40,1
barra do garcas,br,-15,-52,20,97,56,2
lucea,jm,18,-78,28,69,20,2
caborca,mx,30,-111,16,49,0,2
sanchursk,ru,56,47,-6,90,68,3
chippewa falls,us,44,-91,-8,83,1,2
dahuk,iq,,,,,,
oliver,ca,49,-119,4,69,90,7
twentynine palms,us,34,-116,13,54,1,2
warri,ng,5,5,23,96,36,1
praxedis guerrero,mx,31,-106,11,60,20,2
liepaja,lv,56,21,5,100,80,2
waraseoni,in,21,80,18,98,76,1
idil,tr,37,41,3,91,8,1
honavar,in,14,74,24,96,36,2
great bend,us,38,-98,0,56,1,4
chlum u trebone,cz,48,14,3,97,92,8
giyani,za,-23,30,21,85,92,4
urfa,tr,,,,,,
syamzha,ru,60,41,-7,85,76,6
pital,cr,2,-75,18,93,76,0
tulagi,sb,,,,,,
concord,us,37,-122,10,79,90,1
juterbog,de,51,13,5,75,75,9
cacequi,br,-29,-54,22,49,12,2
sherlovaya gora,ru,50,116,-34,48,8,1
nelson bay,au,-32,152,25,69,75,6
onguday,ru,50,86,-26,61,0,0
west bay,ky,50,-2,8,87,12,5
bambui,br,6,10,14,64,36,0
sao jose de ribamar,br,-2,-44,26,88,20,2
kiboga,ug,0,31,18,92,92,1
yungkang,tw,,,,,,
matamoros,mx,25,-97,11,85,1,2
arroyo,us,41,-78,-5,64,1,0
moose factory,ca,51,-80,-9,78,90,4
uglegorsk,ru,49,142,-7,81,32,5
maridi,sd,,,,,,
yafran,ly,32,12,1,90,0,2
jesup,us,31,-81,7,81,90,3
banda aceh,id,5,95,22,100,0,0
kolyvan,ru,55,82,-23,76,0,1
vryburg,za,-26,24,18,20,92,4
ouadda,cf,8,22,16,67,8,1
kerrobert,ca,51,-109,-14,84,75,9
usevya,tz,,,,,,
aksum,et,14,38,13,91,36,1
teluk intan,my,4,101,25,88,75,0
kinsale,ie,51,-8,6,81,75,3
narnaul,in,28,76,7,81,0,1
wala,pa,11,13,16,41,12,2
parras,mx,,,,,,
hansi,in,29,75,10,89,20,1
tucuma,br,,,,,,
jacobina,br,-11,-40,19,97,56,1
yarmouth,ca,50,-1,7,81,40,5
sinait,ph,17,120,28,69,20,1
kaputa,zm,-8,29,16,97,56,1
kargat,ru,55,80,-22,51,24,1
rawannawi,ki,,,,,,
marsa matruh,eg,31,27,13,91,0,5
mitchell,us,43,-98,-9,82,36,2
yakima,us,46,-120,0,88,90,1
agropoli,it,40,15,13,100,32,8
seydisehir,tr,37,31,4,96,80,2
kuala selangor,my,3,101,26,94,75,1
iguape,br,-24,-47,21,99,0,6
hanko,fi,59,22,4,100,92,8
ferkessedougou,ci,9,-5,19,69,0,0
aflu,dz,,,,,,
uberlandia,br,-18,-48,21,70,44,4
guanambi,br,-14,-42,20,90,92,5
ipatovo,ru,45,42,0,96,64,5
mendeleyevo,ru,56,37,-1,100,90,3
rizhao,cn,35,119,0,72,76,4
shakawe,bw,-18,21,21,22,0,4
zenzeli,ru,45,47,-3,87,32,4
biggar,ca,55,-3,2,98,0,1
rostovka,ru,55,73,-20,76,0,4
stepnogorsk,kz,52,71,-18,81,68,2
cao bang,vn,22,106,7,100,92,1
los alamos,us,35,-106,2,56,1,2
neman,ru,32,-85,5,85,90,3
sharlyk,ru,52,54,-6,92,92,1
sierra vista,us,31,-110,11,43,1,1
fulacunda,gw,,,,,,
chilliwack,ca,49,-121,5,76,90,1
maceio,br,-9,-35,26,83,40,5
sherpur,bd,25,90,11,85,0,1
rajsamand,in,25,73,9,81,0,1
linhai,cn,28,121,2,100,92,1
glenwood springs,us,39,-107,-10,85,1,1
onokhoy,ru,51,108,-28,68,32,0
mezhdurechensk,ru,53,88,-26,46,0,0
canyon,us,34,-101,4,44,1,2
okmulgee,us,35,-95,1,63,1,3
skjaerhollen,no,,,,,,
tupik,ru,54,119,-38,68,0,1
qeshm,ir,26,56,15,63,0,2
wolmaranstad,za,,,,,,
panama city,us,30,-85,9,86,40,4
tooele,us,40,-112,0,95,90,2
christchurch,nz,-43,172,16,63,44,3
amderma,ru,,,,,,
chumphon,th,10,99,25,94,90,1
kuryk,kz,43,51,1,100,48,3
belaya glina,ru,46,40,0,94,64,5
marietta,us,33,-84,3,92,90,1
balatonalmadi,hu,47,18,7,70,90,3
barbosa ferraz,br,-24,-52,19,74,0,1
sarahan,in,31,77,-16,87,56,0
san juan,ar,14,121,30,58,20,1
plastun,ru,44,136,-16,46,0,4
ouegoa,nc,-20,164,27,66,0,5
bell ville,ar,-32,-62,25,56,0,1
kurush,ru,41,47,6,93,90,1
kitui,ke,-1,38,19,96,88,1
ahtopol,bg,42,27,1,100,20,4
kikuchi,jp,33,130,6,60,0,0
polson,us,47,-114,-5,84,1,0
westport,nz,53,-9,6,98,44,3
crestview,us,30,-86,8,92,90,4
mumford,gh,5,0,26,91,8,3
goba,et,7,39,8,82,56,0
beihai,cn,38,121,-2,74,0,1
piryion,gr,,,,,,
munai,ph,7,124,23,81,8,1
sawtell,au,-30,153,27,61,0,9
baie-comeau,ca,49,-68,-11,85,90,2
hakkari,tr,61,23,2,100,90,3
laguna,br,27,-110,22,46,20,2
erzurum,tr,39,41,-2,86,75,2
soubre,ci,5,-6,22,98,12,1
ocho rios,jm,18,-77,27,65,20,5
kamiiso,jp,41,140,-4,79,75,5
mineros,bo,-17,-63,26,78,75,3
srivardhan,in,18,73,18,94,0,2
harqalah,tn,35,38,10,98,80,3
maumere,id,-8,122,28,100,12,1
andujar,es,38,-4,3,77,8,1
koslan,ru,63,48,-5,84,88,2
mutis,co,6,-77,25,100,20,1
maloy,no,1,118,27,75,12,1
abaza,ru,52,90,-26,65,20,1
bertinoro,it,44,12,10,35,0,6
bozeman,us,45,-111,-4,68,1,6
coldwater,us,41,-85,-3,86,1,1
zig,az,40,-92,-3,79,1,1
istisu,az,40,48,6,93,90,1
kharovsk,ru,59,40,-6,84,80,5
malartic,ca,48,-78,-10,72,90,4
kajaani,fi,64,27,0,89,90,4
ati,td,13,18,17,32,0,4
vestmanna,fo,62,-7,2,64,56,5
nioki,cd,-2,17,21,99,44,0
riwaka,nz,-41,173,20,73,0,1
loubomo,cg,,,,,,
rock sound,bs,24,-76,26,100,12,6
three hills,ca,51,-113,-8,78,75,3
faanui,pf,-16,-151,28,99,32,7
valday,ru,57,33,-2,93,88,3
cananeia,br,-25,-47,21,100,0,6
nowshera,pk,34,71,11,81,75,2
kamenskoye,ru,,,,,,
cherepovets,ru,59,37,-5,90,80,5
eisenberg,de,50,11,3,80,88,7
songjianghe,cn,42,127,-25,61,36,1
nizhniy chir,ru,48,43,-1,99,92,5
prince george,ca,53,-122,4,55,90,10
arauca,co,7,-70,27,78,20,2
tapejara,br,-23,-52,20,61,8,2
gibara,cu,21,-76,26,69,75,2
bayanday,ru,53,105,-33,41,0,0
copacabana,bo,6,-75,16,93,75,1
kumeny,ru,58,49,-4,92,76,3
tiarei,pf,-17,-149,30,70,75,6
longview,us,32,-94,5,92,20,3
tierralta,co,8,-76,27,73,32,3
miri,my,10,9,14,57,0,2
whakatane,nz,-37,176,20,97,0,1
khuzdar,pk,27,66,4,86,0,1
